SNo,Date,Symbol,Segment,EntryAt,Signal,Rate,QTY,TGT,SL,Cycle,ExitAt,Closure,ExitRate,Open,High,Low,Close,PP,PR,PS,NewPR,NewPS,LowWick,UpWick,Body,CandleColor,CandleType,SumBody,SMA21,SumClose,AlgoName,TSLFlag
3005,19-06-2023,HAVELLS,NSECM,13.00.02,SELL,1339.7,75,1328.8,1347.5,224,15.19.02,EXIT,1337.85,1339.65,1339.8,1339.65,1337.85,1342.180815,1352.690091,1331.671539,,1328.84843,,,,,,,,,Algo1.1,None
3006,19-06-2023,SBILIFE,NSECM,13.28.02,BUY,1285,78,1295.4,1277.5,252,15.19.03,EXIT,1282.5,1284.95,1285,1284.95,1282.5,1282.57332,1292.615869,1272.530771,1295.4085,,,,,,,,,,Algo1.1,None
3007,19-06-2023,ICICIBANK,NSECM,09.43.03,SELL,928.4,108,914.2,938.6,28,15.17.02,EXIT,923.6,,,,,,,,,,,,,,,,,,Algo1.11,
3008,19-06-2023,CANFINHOME,NSECM,09.43.03,SELL,760,131,753,758.1,,11.08.00,TGT,,,,,,,,,,,,,,,,,,,Algo1.11,TRUE
3009,20-06-2023,BAJAJFINSV,NSECM,11.07.03,SELL,1507.5,66,1495.3,1516.3,113,13.31.03,SL,,1508.05,1508.05,1506.85,1516.9,1510.029167,1521.852695,1498.205638,,1495.28925,,,,,,,,,Algo1.11,None
3010,20-06-2023,M&M,NSECM,12.31.02,BUY,1387.1,72,1398.3,1390.8,197,15.08.02,TGT,1396.65,1386.55,1387.3,1386.45,1398.2,1384.817857,1395.660981,1373.974733,1398.33551,,,,,,,,,,Algo1.11,TRUE
3011,20-06-2023,LUPIN,NSECM,15.18.03,SELL,827.8,120,817.7,836.7,130,15.18.03,EXIT,830.5,829.45,830.5,829.4,830.5,827.8,,,,,0.05,0,1.05,R,Breakout,0.74406,941.0774419,40133733.65,Algo2.11,
3012,20-06-2023,INFY,NSECM,14.25.02,BUY,1300.5,77,1311,1292.9,308,15.19.05,EXIT,1303.75,1300.5,1300.7,1300,1303.75,1298.1726,1308.337291,1288.007908,1311.03405,,,,,,,,,,Algo1.1,None
3013,20-06-2023,M&M,NSECM,13.29.02,BUY,1388.7,72,1399.9,1392.4,252,15.19.05,EXIT,1396.65,1388.6,1388.9,1388.5,1396.65,1386.049605,1396.902373,1375.196836,1399.94847,,,,,,,,,,Algo1.1,TRUE
3014,20-06-2023,ICICIBANK,NSECM,13.57.03,BUY,919.9,109,934,909.8,280,15.19.05,EXIT,925.85,920.25,920.35,919.7,925.85,917.4992289,927.4082206,907.5902373,933.97447,,,,,,,,,,Algo1.1,None
3015,20-06-2023,AXISBANK,NSECM,14.25.02,BUY,966.4,103,981.2,969,308,15.19.05,EXIT,974.1,966.35,966.65,965.85,974.1,964.3744876,974.7897321,953.9592431,981.18592,,,,,,,,,,Algo1.1,TRUE
3016,20-06-2023,HAVELLS,NSECM,14.25.02,BUY,1341.4,75,1352.3,1345,308,15.19.05,EXIT,1347.25,1342,1342.3,1341.05,1347.25,1338.575836,1349.056885,1328.094787,1352.26534,,,,,,,,,,Algo1.1,TRUE
3017,20-06-2023,SBICARD,NSECM,11.36.03,SELL,893.1,112,879.4,902.9,140,15.19.06,EXIT,894.3,893.25,893.5,892.95,894.3,895.3042553,904.9735413,885.6349694,,879.43557,,,,,,,,,Algo1.1,None
